,体験受入法人等,代表者,所在地,ホームページ,売上高,従業員数,経営主作目・事業内容,経営理念と将来の事業展開・ビジョン,有機農業に対する考えや取り組み,作物種別,体験可能作目,体験場所,体験担当者,受入可能時期と内容,1回の受入可能期間,高校生の受入,社会人の週末等コースの受入,提供できる住居,食事提供の方法,採用計画,アクセス,自動車免許,服装など準備すべき物,登録にあたっての考え,参加者の目的で重視すること,メッセージ：どんなことを学べるか
288,(株)パソナ農援隊チャレンジファーム淡路,田中　康輔,兵庫県淡路市浅野南,,"4,300万円",12人,農作物の生産加工、販売、農業関連研修事業,経営理念：安心安全ＪＧＡＰ認証農場、事業展開：雇用就農者希望者の育成、中山間地就農者にとっての経営モデルとなる。,BLOF理論をベースとした土作りを 行っている。,葉物野菜、ナス、ピーマンなど,葉物野菜、ナス、ピーマンなど,チャレンジファーム淡路,紙上（かみうえ）,5月～11月：納豆菌・酵母菌を活用した土づくり、農作業を通した農業研修、地元農業者との交流会等,2日日〜,可,不可,社宅・寮等,その他　お弁当等準備,有,ジェノバライン(岩屋港)・高速バス（淡路IC）,,農作業に適した服装、長靴、手袋、帽子、タオル,農業体験・理解者の増加,農業体験,農業に興味があり、実際の現場で学びたいと思う方
289,深山農園（株）,深山　陽一朗,兵庫県相生市矢野町小河,http://fukayaman.com,8800万円,30人,しいたけ、きくらげ,経営理念：食を通じて、人と人をつなぎ、たくさんの笑顔を咲かせます,農薬不使用,しいたけ,しいたけ,,芦田　智也、勝谷　涼子,通年可能：しいたけの栽培。（興味があれば）会計など,8日日〜,可,可,経営者宅に間借り,その他　自炊（食材提供）、コンビニ弁当もしくは会社のキッチンで自炊,有,ＪＲ山陽本線　相生,必要,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,自ら進んで、何でもやろうという人物
290,（有）夢前夢工房,衣笠　愛之,兵庫県姫路市夢前町宮置,http://y-yumekoubou.net,"16,000万円",15人,水稲、野菜、イチゴ、レストラン、直売所,安心を食卓へ！（人を育て、農産物を育てます）,水稲8ha、野菜1haは兵庫安心ブランド認定,水稲、野菜、イチゴ,水稲、野菜、イチゴ,,衣笠愛之,通年可能：野菜、4月～10月：水稲、8月～5月：イチゴ,2日日〜,不可,可,社宅・寮等,その他　自炊（食材提供・食費補助）,有,JR姫路駅→神姫バス　宮置バス停より5分,,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,夢を持てる人
291,農地所有適格法人（有）ワタミファーム(丹波農場),西岡　亨祐,兵庫県丹波市,http://www.watamifarm.co.jp,外部公表していないため非開示,外部公表していないため非公表,畑作,未来の食の安全と安心、環境を守るため、生命を循環させ、有機農業を発展させていくこと,生きている土から、生きている作物や動物から自然の恵みをいただき、それを食べることで我々も生かされている、それが生命を守る事業、生命を循環させる事業である有機農業と考えます。 私達の仕事として一番大切なのは土づくり、作物・牧草づくり・家畜の環境づくりと考えます,玉ねぎ、ニンニク、レタス、水菜等,玉ねぎ、ニンニク、レタス、水菜等,兵庫県丹波市島町南,北村（京丹後・丹波）,通年可能：玉ねぎ、ニンニク栽培、ハウス栽培,2日日〜,可,可,その他　近隣のホテル利用（インターンシップ生が手配し、自己負担。ホテルから農場への送迎あり）,その他　提供無し,有,JR福知山線・市島駅から徒歩20分　※送迎可,必要,農作業に適した服装、長靴、雨具,従業員の確保,就職先検討,自ら課題設定し、課題解決のために動く方
292,UEDAなっぱ工房,上田　喜章,奈良県大和高田市松塚,,非公表,非公表,大和野菜・小松菜,,,大和野菜・小松菜,大和野菜・小松菜,,,,2日日〜,,,,,,,,,その他　農業現場を知ってもらい、職業としてより理解してもらうため,,
293,葛城山麓農園(株),西村　俊伸,奈良県御所市楢原,https://katsuragi-sanroku.farm,10000万円,6人,多品目（大和伝統野菜等、中玉トマト、ミニトマト、コリンキー、ズッキーニ、ミニキュウリ、丸オクラ、ジャンボピーマン、スイートコーン、安納芋、パープルスイートロード、インカのめざめ、シャドークイーン、柿、八朔、ブルーベリー、キウイ、蓮、等々）,経営理念と将来の事業展開・ビジョン 葛城山麓の地域課題を地域資源である観光、農、食で解決し地域活性化させる為、2015年に創業し生産を開始しました。2017年にはハウス10棟を設置し生産を安定させます。そして、生産した野菜の加工品（ジェラート）（ピクルス等多品目の加工を試作中）としての6次産業化と農家レストランの開業を予定（コロナウイルス感染症の為開業を延期中）しています。,現在は創業期なので生産を安定させることが重要なので、将来的には考えている。スタンスとしては、有機ＪＡＳ対応資材で対応し、どうしても病害虫にやられる場合は慣行用の資材を使います。,栽培しているほとんどの品目において可能だが、受け入れ時期により異なる。,栽培しているほとんどの品目において可能だが、受け入れ時期により異なる。,,西村　俊伸,通年可能：多品目なので相談させていただきます。葉菜類　3月～10月 ：大和伝統野菜の果菜類と中玉トマト、ミニトマト、コリンキー、　ズッキーニ、ミニキュウリ、丸オクラ、ジャンボピーマン、スイートコーン等　4月～12月：大和伝統野菜の大和いも（つくねいも）、安納芋、パープルスイートロード、インカのめざめ、シャドークイーン等,2日〜,可,可,その他　宿泊するスペースを用意させて頂きます,自炊（食費補助）,有,近鉄御所駅,必要,,農業体験・理解者の増加,農業体験、就職先検討,創業期の立ち上げメンバーとして中核を担っていただきたいと思っております。※現在、緊急事態宣言を発出している地域からは受入れておりません。
294,辰巳トウシミ屋,辰巳　直大,奈良県奈良市奈良阪町,,非公表,2人,大和伝統野菜・ナス・ホウレン草・米,苦手な人でも食べられる野菜、栄養価の高い野菜づくり,無,伝統野菜・ナス・ホウレン草・米,伝統野菜・ナス・ホウレン草・米,,辰巳　直大,通年可能：収穫・出荷作業、5～9月：ナス・しょうがの栽培作業、10～4月：ホウレン草栽培技術、11～12月：しめ縄づくり・祝大根栽培・出荷作業,2日日〜,可,可,社宅・寮等 　社宅・寮等、経営者宅に間借り,その他　経営者等家族と一緒、自炊（食材提供・食費補助）,有,近鉄奈良駅からバスで8分（奈良阪バス停下車3分）,,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,作業のていねいさ
295,月ヶ瀬健康茶園,岩田　文明,奈良県奈良市月ヶ瀬尾山,http://www.tukicha.com,約5，500万円,10人,茶、椎茸、野菜他,地域の草木を茶園に還し、茶の木が茶の木らしく育つことを大切に考えています。ライフワークとして山間地域で茶業に取組むことを基本に、将来は当茶園の取組と、スタッフ個々が得意とする分野と協力、連携、融合しながら、新しいかたちの仕事を生み出していく方向に向かっています。,有機JAS 取得・農薬化学肥料動物性資材を使用せず、地域の草木を還す栽培をします。有機栽培自然栽培それぞれのスタンスで生産製茶販売を行っています,季節の茶栽培や耕作放棄地の再生のための作業・椎茸,季節の茶栽培や耕作放棄地の再生のための作業・椎茸,,光川真吾,通年可能：当園の茶業生産全般と季節により山の原木椎茸栽培,2日〜,可,不可,その他　その他（地域のシェアハウス）,その他　一部食材提供,有,関西本線　月ヶ瀬口,,農作業に適した服装（穴のあきにくい長袖・長ズボン）、長靴、雨合羽,従業員の確保,就職先検討,ライフスタイルでもオーガニックな生活をされている方。興味を持って追究することを継続できる方。これから実践の意欲がある方。
296,寺田農園（株）,寺田　昌史,奈良県葛城市大畑,http://www.teradafarm.com/index.html#,6，700万円,13人,ハーブ、苺、いちじく,好きだから百姓やってます。,減農薬,ハーブ、苺、いちじく,ハーブ、苺、いちじく,,寺田　昌史,通年可能：ハーブの収穫、12～6月：いちご管理、8～11月：いちじ管理,2日〜,不可,可,その他　コンテナハウス,自炊（食費補助）,有,,,,農業体験・理解者の増加,農業体験、就職先検討,明るく元気
297,中尾牧場,中尾　彰,奈良県奈良市都祁南之庄町,,"4,000万円",2人,水稲、肉牛肥育,現状維持,水稲には牛糞堆肥のみ使用,水稲、肉牛肥育,水稲、肉牛肥育,,中尾彰,通年可能：田・牛舎周辺の草刈り、牛のエサやり、農繁期：9月～11月,2日日〜,可,不可,経営者宅に間借り,経営者等家族と一緒,有,榛原駅からバス南之庄下車徒歩1分,必要,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験,まじめな人
298,（株）はじまり屋,笹野　正広,奈良県宇陀市榛原区池上,http://www.hajimariya.com,"3,000万円",6人,露地、ハウス2ha、加工品の販売,旬にこだわった安心安全な野菜をお客様に提供したい,今年度有機ＪＡＳ取得予定,レタス・小松菜・人参・茄子等、時期により異なる,レタス・小松菜・人参・茄子等、時期により異なる,,早坂,通年可能：野菜の栽培管理、収穫、出荷等収穫、調整、管理、農繁期：6月～12月,2日日〜,可,不可,社宅・寮等,自炊（食費補助）,無,近鉄榛原駅から奈良交通バス池上より徒歩５分,必要,,従業員の確保,就職先検討,野菜に対する意識の高い方（栽培、販売、食など）
299,花の郷滝谷花しょうぶ園（有）,日下志　欽子,奈良県宇陀市室生瀧谷,,8000万円,13人,観光花園,荒れる中山間農地を再生し、維持し、来園者に楽しんで頂ける憩いの場所をつくる,有機は特になし,植栽花壇全般,植栽花壇全般,,日下志拓也,通年可能：園内の整備・花木の植付、剪定など,2日〜,可,可,経営者宅に間借り,自炊（食費補助）,有,近鉄大阪線三本松,必要,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,真面目に仕事に向き合える方
